Club,País
Real Sporting de Gijón,España
BB Erzurumspor,Turquía
Shandong Luneng TaiShan FC,China
Club Atlético Colón,Argentina
Bahia,Brasil
Once Caldas,Colombia
FC Groningen,Países Bajos
Angers SCO,Francia
Paraná,Brasil
Antalyaspor,Turquía
Minnesota United FC,Estados Unidos
Club León,México
Empoli,Italia
VVV-Venlo,Países Bajos
Leeds United,Inglaterra
Viktoria Plzeň,República Checa
Alanyaspor,Turquía
Atlético Paranaense,Brasil
Derby County,Inglaterra
Kawasaki Frontale,Japón
Cardiff City,Gales
Aston Villa,Inglaterra
Guadalajara,México
Dijon FCO,Francia
Santos Laguna,México
Málaga CF,España
Vitória,Brasil
Çaykur Rizespor,Turquía
U.N.A.M.,México
Nottingham Forest,Inglaterra
Royal Antwerp FC,Bélgica
Club Tijuana,México
Sport Club do Recife,Brasil
Real Salt Lake,Estados Unidos
AZ Alkmaar,Países Bajos
SK Slavia Praha,República Checa
Willem II,Países Bajos
Middlesbrough,Inglaterra
Dinamo Zagreb,Croacia
Club Atlas,México
Granada CF,España
Sydney FC,Australia
Sporting Kansas City,Estados Unidos
SV Zulte-Waregem,Bélgica
Philadelphia Union,Estados Unidos
Real Oviedo,España
Pachuca,México
Boavista FC,Portugal
Atiker Konyaspor,Turquía
Kaizer Chiefs,Sudáfrica
GD Chaves,Portugal
Palermo,Italia
Atlético Nacional,Colombia
Puebla FC,México
Perth Glory,Australia
Panathinaikos FC,Grecia
FC Sion,Suiza
Vitória de Setúbal,Portugal
New York Red Bulls,Estados Unidos
Al Shabab,Arabia Saudita
Monarcas Morelia,México
Albacete BP,España
Rangers FC,Escocia
Sparta Praha,República Checa
Legia Warszawa,Polonia
Urawa Red Diamonds,Japón
Rosario Central,Argentina
Stade de Reims,Francia
ADO Den Haag,Países Bajos
Chapecoense,Brasil
FC Midtjylland,Dinamarca
San Jose Earthquakes,Estados Unidos
Belgrano de Córdoba,Argentina
Brescia,Italia
Kashima Antlers,Japón
CD Everton de Viña del Mar,Chile
Fortuna Düsseldorf,Alemania
SD Huesca,España
Preston North End,Inglaterra
Club Atlético Talleres,Argentina
Benevento,Italia
Vitesse,Países Bajos
Gimnasia y Esgrima La Plata,Argentina
Houston Dynamo,Estados Unidos
Club Necaxa,México
Norwich City,Inglaterra
Holstein Kiel,Alemania
Ettifaq FC,Arabia Saudita
Kayserispor,Turquía
1. FC Heidenheim 1846,Alemania
Brentford,Inglaterra
Yeni Malatyaspor,Turquía
Lobos BUAP,México
Bursaspor,Turquía
Ceará Sporting Club,Brasil
Sheffield United,Inglaterra
FC Ingolstadt 04,Alemania
Estudiantes de La Plata,Argentina
AIK,Suecia
Queens Park Rangers,Inglaterra
Suwon Samsung Bluewings,Corea del Sur
Heart of Midlothian,Escocia
Reading,Inglaterra
FC Dallas,Estados Unidos
Heracles Almelo,Países Bajos
Venezia FC,Italia
CD Lugo,España
Henan Jianye FC,China
Orlando City SC,Estados Unidos
CA Osasuna,España
NAC Breda,Países Bajos
Livorno,Italia
Universidad de Chile,Chile
Brøndby IF,Dinamarca
Aberdeen,Escocia
Defensa y Justicia,Argentina
Atlético Tucumán,Argentina
Blackburn Rovers,Inglaterra
SV Darmstadt 98,Alemania
Moreirense FC,Portugal
Sanfrecce Hiroshima,Japón
CD Numancia,España
KV Oostende,Bélgica
FC Utrecht,Países Bajos
Vancouver Whitecaps FC,Canadá
Odense Boldklub,Dinamarca
SC Heerenveen,Países Bajos
Racing Club de Lens,Francia
Independiente Santa Fe,Colombia
Sporting de Charleroi,Bélgica
Millonarios FC,Colombia
Sheffield Wednesday,Inglaterra
Perugia,Italia
Daegu FC,Corea del Sur
Vélez Sarsfield,Argentina
Grasshopper Club Zürich,Suiza
Sivasspor,Turquía
Nîmes Olympique,Francia
Rosenborg BK,Noruega
SK Sturm Graz,Austria
FC Metz,Francia
CD Universidad de Concepción,Chile
Hellas Verona,Italia
Brisbane Roar,Australia
CD Feirense,Portugal
Hull City,Inglaterra
Waasland-Beveren,Bélgica
Neuchâtel Xamax,Suiza
Real Zaragoza,España
CD Aves,Portugal
Millwall,Inglaterra
Unión de Santa Fe,Argentina
KAS Eupen,Bélgica
Cádiz CF,España
FC Tokyo,Japón
CD Tenerife,España
1. FC Union Berlin,Alemania
Al Fayha,Arabia Saudita
AJ Auxerre,Francia
Patriotas Boyacá FC,Colombia
Molde FK,Noruega
Bristol City,Inglaterra
CD Nacional,Portugal
Sporting Lokeren,Bélgica
FC St. Pauli,Alemania
Deportes Iquique,Chile
Al Qadisiyah,Arabia Saudita
Atlético Bucaramanga,Colombia
Club Atlético Tigre,Argentina
FK Austria Wien,Austria
Patronato,Argentina
Malmö FF,Suecia
Kashiwa Reysol,Japón
US Cremonese,Italia
VfL Bochum 1848,Alemania
SK Rapid Wien,Austria
KSV Cercle Brugge,Bélgica
Rionegro Águilas,Colombia
Gimnàstic de Tarragona,España
Lecce,Italia
Santa Clara,Portugal
BK Häcken,Suecia
New England Revolution,Estados Unidos
Orlando Pirates,Sudáfrica
Atlético Huila,Colombia
Western Sydney Wanderers,Australia
Kalmar FF,Suecia
Independiente Medellín,Colombia
Fortuna Sittard,Países Bajos
Lech Poznań,Polonia
Djurgårdens IF,Suecia
CF Reus Deportiu,España
SK Brann,Noruega
Ulsan Hyundai FC,Corea del Sur
Sint-Truidense VV,Bélgica
Carpi,Italia
Al Fateh,Arabia Saudita
Royal Excel Mouscron,Bélgica
AC Ajaccio,Francia
PEC Zwolle,Países Bajos
Sunderland,Inglaterra
Club Atlético Aldosivi,Argentina
US Salernitana 1919,Italia
FC Lorient,Francia
Argentinos Juniors,Argentina
AD Alcorcón,España
Crotone,Italia
Excelsior,Países Bajos
KV Kortrijk,Bélgica
IFK Norrköping,Suecia
Adelaide United,Australia
FC St. Gallen,Suiza
Tiburones Rojos de Veracruz,México
CD Palestino,Chile
Jeju United FC,Corea del Sur
Deportes Tolima,Colombia
Jeonbuk Hyundai Motors,Corea del Sur
Birmingham City,Inglaterra
América de Cali,Colombia
La Equidad,Colombia
Spezia,Italia
Aalborg BK,Dinamarca
Le Havre AC,Francia
Górnik Zabrze,Polonia
Central Coast Mariners,Australia
Wigan Athletic,Inglaterra
Jagiellonia Białystok,Polonia
Cittadella,Italia
Hibernian,Escocia
FC Lugano,Suiza
San Martín de San Juan,Argentina
Strømsgodset IF,Noruega
Júbilo Iwata,Japón
Newell's Old Boys,Argentina
Al Faisaly,Arabia Saudita
Colorado Rapids,Estados Unidos
IF Elfsborg,Suecia
SV Sandhausen,Alemania
Al Batin,Arabia Saudita
Stade Brestois 29,Francia
UD Almería,España
Gyeongnam FC,Corea del Sur
Yokohama F. Marinos,Japón
Kilmarnock,Escocia
Pescara,Italia
Newcastle Jets,Australia
Córdoba CF,España
RCD Mallorca,España
Hammarby IF,Suecia
Cerezo Osaka,Japón
KFC Uerdingen 05,Alemania
Shimizu S-Pulse,Japón
MSV Duisburg,Alemania
Os Belenenses,Portugal
DSC Arminia Bielefeld,Alemania
Ipswich Town,Inglaterra
FC Seoul,Corea del Sur
Lechia Gdańsk,Polonia
Gamba Osaka,Japón
CF Rayo Majadahonda,España
LASK Linz,Austria
Bolton Wanderers,Inglaterra
Al Raed,Arabia Saudita
Extremadura UD,España
SC Paderborn 07,Alemania
Wellington Phoenix,Nueva Zelanda
Unión Española,Chile
Alianza Petrolera,Colombia
Cracovia,Polonia
Gangwon FC,Corea del Sur
Elche CF,España
ESTAC Troyes,Francia
AS Béziers,Francia
La Berrichonne de Châteauroux,Francia
Clermont Foot 63,Francia
1. FC Magdeburg,Alemania
Pohang Steelers,Corea del Sur
Örebro SK,Suecia
Arka Gdynia,Polonia
SG Dynamo Dresden,Alemania
SpVgg Greuther Fürth,Alemania
CD Huachipato,Chile
Wisła Kraków,Polonia
Stabæk Fotball,Noruega
Eintracht Braunschweig,Alemania
Valenciennes FC,Francia
FC Thun,Suiza
San Luis de Quillota,Chile
SSV Jahn Regensburg,Alemania
Cosenza,Italia
FC Nordsjælland,Dinamarca
FC Erzgebirge Aue,Alemania
Jeonnam Dragons,Corea del Sur
Wolfsberger AC,Austria
Chamois Niortais Football Club,Francia
Club Deportes Temuco,Chile
AS Nancy Lorraine,Francia
Red Star FC,Francia
Al Hazem,Arabia Saudita
Pogoń Szczecin,Polonia
Charlton Athletic,Inglaterra
Grenoble Foot 38,Francia
FC Hansa Rostock,Alemania
San Martin de Tucumán,Argentina
Incheon United FC,Corea del Sur
Śląsk Wrocław,Polonia
GFC Ajaccio,Francia
1. FC Kaiserslautern,Alemania
Deportivo Pasto,Colombia
Lincoln City,Inglaterra
Motherwell,Escocia
Rotherham United,Inglaterra
Burton Albion,Inglaterra
Wisła Płock,Polonia
FC Wacker Innsbruck,Austria
Peterborough United,Inglaterra
Ascoli,Italia
FC Zürich,Suiza
Fleetwood Town,Inglaterra
Padova,Italia
FC Sochaux-Montbéliard,Francia
SV Wehen Wiesbaden,Alemania
Unión La Calera,Chile
Scunthorpe United,Inglaterra
CD O'Higgins,Chile
CD Antofagasta,Chile
Plymouth Argyle,Inglaterra
Aarhus GF,Dinamarca
Lillestrøm SK,Noruega
Karlsruher SC,Alemania
GIF Sundsvall,Suecia
FC Emmen,Países Bajos
Barnsley,Inglaterra
Audax Italiano,Chile
V-Varen Nagasaki,Japón
Paris FC,Francia
SpVgg Unterhaching,Alemania
Hobro IK,Dinamarca
De Graafschap,Países Bajos
Hokkaido Consadole Sapporo,Japón
Tromsø IL,Noruega
FC Luzern,Suiza
FK Haugesund,Noruega
Zagłębie Lubin,Polonia
VfR Aalen,Alemania
Dundalk,Irlanda
Oxford United,Inglaterra
Piast Gliwice,Polonia
Ohod Club,Arabia Saudita
Östersunds FK,Suecia
Vegalta Sendai,Japón
Crawley Town,Inglaterra
FC Admira Wacker Mödling,Austria
Vålerenga Fotball,Noruega
Dundee FC,Escocia
Portsmouth,Inglaterra
Envigado FC,Colombia
Miedź Legnica,Polonia
Odds BK,Noruega
SC Fortuna Köln,Alemania
US Orléans Loiret Football,Francia
Sarpsborg 08 FF,Noruega
Jaguares de Córdoba,Colombia
Bradford City,Inglaterra
Accrington Stanley,Inglaterra
St. Johnstone FC,Escocia
Boyacá Chicó FC,Colombia
Luton Town,Inglaterra
SV Mattersburg,Austria
Kristiansund BK,Noruega
Sangju Sangmu FC,Corea del Sur
Rochdale,Inglaterra
Walsall,Inglaterra
Korona Kielce,Polonia
Shonan Bellmare,Japón
FC Würzburger Kickers,Alemania
FSV Zwickau,Alemania
St. Mirren,Escocia
AC Horsens,Dinamarca
Esbjerg fB,Dinamarca
HJK Helsinki,Finlandia
Southend United,Inglaterra
Bristol Rovers,Inglaterra
Hamilton Academical FC,Escocia
TSV 1860 München,Alemania
Curicó Unido,Chile
SCR Altach,Austria
Ranheim Fotball,Noruega
Stevenage,Inglaterra
SG Sonnenhof Großaspach,Alemania
Oldham Athletic,Inglaterra
Milton Keynes Dons,Inglaterra
FK Bodø/Glimt,Noruega
SC Preußen Münster,Alemania
Wycombe Wanderers,Inglaterra
Vejle Boldklub,Dinamarca
Bury,Inglaterra
Randers FC,Dinamarca
VfL Osnabrück,Alemania
SønderjyskE,Dinamarca
IFK Göteborg,Suecia
Mansfield Town,Inglaterra
Coventry City,Inglaterra
Waterford FC,Irlanda
Shrewsbury,Inglaterra
IK Start,Noruega
Gillingham,Inglaterra
FC Energie Cottbus,Alemania
FC Carl Zeiss Jena,Alemania
Hallescher FC,Alemania
SV Meppen,Alemania
AFC Wimbledon,Inglaterra
Blackpool,Inglaterra
Doncaster Rovers,Inglaterra
Sandefjord Fotball,Noruega
VfL Sportfreunde Lotte,Alemania
Cheltenham Town,Inglaterra
IK Sirius,Suecia
Vendsyssel FF,Dinamarca
Swindon Town,Inglaterra
Notts County,Inglaterra
SKN St. Pölten,Austria
Exeter City,Inglaterra
Northampton Town,Inglaterra
Shamrock Rovers,Irlanda
Colchester United,Inglaterra
Livingston FC,Escocia
TSV Hartberg,Austria
Tranmere Rovers,Inglaterra
Cambridge United,Inglaterra
Grimsby Town,Inglaterra
Port Vale,Inglaterra
Itagüí Leones FC,Colombia
Forest Green Rovers,Inglaterra
Dalkurd FF,Suecia
Zagłębie Sosnowiec,Polonia
Carlisle United,Inglaterra
Trelleborgs FF,Suecia
St. Patrick's Athletic,Irlanda
Morecambe,Inglaterra
Cork City,Irlanda
IF Brommapojkarna,Suecia
Crewe Alexandra,Inglaterra
Yeovil Town,Inglaterra
Bohemian FC,Irlanda
Macclesfield Town,Inglaterra
Newport County,Gales
Sligo Rovers,Irlanda
Derry City,Irlanda
Limerick FC,Irlanda
Bray Wanderers,Irlanda
