,Nombre,Edad,Club,Grupo_Posicion,Nacionalidad,Valoracion_General,Potencial,Valor_Mercado,Salario,Arquetipo_Atipico,Indice_Rendimiento,Ratio_Valor_Rendimiento,ZScore_Altura_cm,ZScore_Fuerza
241,A. Robertson,24,Liverpool,Defensor,Scotland,82,87,24500000,98000,"['Especialista Oculto', 'Especialista Oculto']",75.16666667,3.06E-06,-0.785693717,-0.438776133
242,Dani García,28,Athletic Club de Bilbao,Mediocampista,Spain,82,83,20000000,33000,['Especialista Oculto'],78,3.89E-06,0.366748455,1.082487342
243,F. Bernardeschi,24,Juventus,Mediocampista,Italy,82,87,29500000,110000,"['Especialista Oculto', 'Especialista Oculto']",83,2.80E-06,1.239642967,0.107560811
245,D. Rugani,23,Juventus,Defensor,Italy,82,86,24500000,95000,['Especialista Oculto'],82.66666667,3.36E-06,1.273128468,0.78975193
246,Samu Castillejo,23,Milan,Mediocampista,Spain,82,86,29000000,94000,['Especialista Oculto'],75.83333333,2.61E-06,0.803195711,-0.948609598
247,João Cancelo,24,Juventus,Defensor,Portugal,82,88,25500000,95000,"['Especialista Oculto', 'Especialista Oculto']",74.5,2.91E-06,0.037835157,-0.438776133
248,A. Romagnoli,23,Milan,Defensor,Italy,82,89,26500000,84000,['Especialista Oculto'],82.16666667,3.09E-06,0.861364031,0.978756248
249,T. Partey,25,Atlético Madrid,Mediocampista,Ghana,82,88,25500000,59000,"['Especialista Oculto', 'Especialista Oculto']",79.83333333,3.12E-06,1.239642967,1.569950607
250,Fred,25,Manchester United,Mediocampista,Brazil,82,84,26500000,140000,['Especialista Oculto'],82.5,3.10E-06,-1.37904057,-0.054926944
253,E. Forsberg,26,RB Leipzig,Mediocampista,Sweden,82,83,26000000,67000,"['Especialista Oculto', 'Especialista Oculto']",81.33333333,3.12E-06,-0.069698801,0.026316933
255,F. Vázquez,29,Sevilla FC,Mediocampista,Argentina,82,82,21500000,27000,['Especialista Oculto'],80.33333333,3.73E-06,1.239642967,1.407462852
256,E. Viš?a,28,Medipol Ba?ak?ehir FK,Mediocampista,Bosnia Herzegovina,82,82,22500000,40000,['Especialista Oculto'],79.5,3.53E-06,-0.942593314,-0.298658577
257,A. Rüdiger,25,Chelsea,Defensor,Germany,82,84,22500000,110000,['Especialista Oculto'],81.83333333,3.62E-06,1.273128468,1.073258406
258,A. Florenzi,27,Roma,Defensor,Italy,82,83,20500000,73000,"['Especialista Oculto', 'Especialista Oculto']",75.33333333,3.66E-06,-1.609222591,-0.344273974
259,H. Maguire,25,Leicester City,Defensor,England,82,85,23500000,77000,['Especialista Oculto'],83,3.52E-06,1.684892905,1.734773517
260,T. Meunier,26,Paris Saint-Germain,Mediocampista,Belgium,82,83,21000000,87000,"['Especialista Oculto', 'Especialista Oculto']",80,3.79E-06,2.11253748,1.894926117
261,S. Sané,27,FC Schalke 04,Defensor,Senegal,82,82,18500000,41000,['Especialista Oculto'],84.33333333,4.55E-06,2.096657342,1.640271358
262,G. Kondogbia,25,Valencia CF,Mediocampista,Central African Rep.,82,85,27500000,46000,"['Especialista Oculto', 'Especialista Oculto']",81,2.94E-06,1.676090224,2.382389383
264,Gabriel Paulista,27,Valencia CF,Defensor,Brazil,82,83,21000000,44000,['Especialista Oculto'],81.66666667,3.88E-06,0.861364031,1.073258406
269,Pablo Sarabia,26,Sevilla FC,Mediocampista,Spain,82,83,26000000,26000,['Especialista Oculto'],80.5,3.09E-06,-0.506146058,-0.298658577
270,W. Zaha,25,Crystal Palace,Atacante,Ivory Coast,82,85,28500000,78000,['Especialista Oculto'],79.66666667,2.79E-06,-0.082101983,0.653404932
271,Luis Alberto,25,Lazio,Atacante,Spain,82,85,28500000,67000,"['Especialista Oculto', 'Especialista Oculto']",80.16666667,2.81E-06,0.303371338,0.055196057
272,Jonathan Viera,28,Beijing Sinobo Guoan FC,Atacante,Spain,82,82,22500000,31000,['Especialista Oculto'],77.16666667,3.42E-06,-1.623995266,0.055196057
273,Bartra,27,Real Betis,Defensor,Spain,82,83,21000000,32000,"['Especialista Oculto', 'Especialista Oculto']",80.16666667,3.81E-06,0.037835157,0.033734661
274,S. Coates,27,Sporting CP,Defensor,Uruguay,82,83,21000000,19000,['Especialista Oculto'],83,3.95E-06,2.096657342,2.20728431
276,Mário Fernandes,27,PFC CSKA Moscow,Defensor,Russia,82,82,18500000,1000,['Especialista Oculto'],79,4.27E-06,0.861364031,0.411743296
277,Víctor Ruiz,29,Villarreal CF,Defensor,Spain,82,83,19500000,43000,['Especialista Oculto'],81.66666667,4.18E-06,0.449599594,1.5457692
278,T. Delaney,26,Borussia Dortmund,Mediocampista,Denmark,82,83,21500000,61000,['Especialista Oculto'],79.5,3.69E-06,0.803195711,1.407462852
280,M. Götze,26,Borussia Dortmund,Mediocampista,Germany,82,85,27000000,67000,['Especialista Oculto'],84.16666667,3.11E-06,-0.506146058,0.513780199
281,S. Mustafi,26,Arsenal,Defensor,Germany,82,84,22500000,115000,['Especialista Oculto'],80.83333333,3.57E-06,0.037835157,0.695249772
282,J. Pastore,29,Roma,Mediocampista,Argentina,82,82,21500000,84000,['Especialista Oculto'],81.33333333,3.77E-06,1.676090224,0.188804688
284,G. Bonaventura,28,Milan,Mediocampista,Italy,82,82,22000000,115000,"['Especialista Oculto', 'Especialista Oculto', 'Especialista Oculto']",83.33333333,3.77E-06,0.366748455,0.351292443
289,A. Ramsey,27,Arsenal,Mediocampista,Wales,82,83,25000000,130000,['Especialista Oculto'],82.66666667,3.29E-06,0.803195711,0.432536321
290,K. Trippier,27,Tottenham Hotspur,Defensor,England,82,82,18500000,99000,"['Especialista Oculto', 'Especialista Oculto', 'Especialista Oculto', 'Especialista Oculto']",76.16666667,4.10E-06,-0.785693717,-0.533278291
291,A. Kolarov,32,Roma,Defensor,Serbia,82,82,12500000,73000,"['Especialista Oculto', 'Especialista Oculto', 'Especialista Oculto']",80.83333333,6.43E-06,0.861364031,0.600747613
292,G. Sigurðsson,28,Everton,Mediocampista,Iceland,82,82,22500000,125000,"['Especialista Oculto', 'Especialista Oculto', 'Especialista Oculto']",84.16666667,3.72E-06,1.239642967,0.513780199
293,S. Giovinco,31,Toronto FC,Atacante,Italy,82,82,20000000,15000,['Especialista Oculto'],81.66666667,4.08E-06,-2.780415229,-1.814206677
294,M. Arnautovi?,29,West Ham United,Atacante,Austria,82,82,22000000,120000,['Especialista Oculto'],81.5,3.68E-06,1.845264621,1.326389916
295,N. Gaitán,30,Dalian YiFang FC,Mediocampista,Argentina,82,82,21000000,22000,['Especialista Oculto'],79.83333333,3.80E-06,-0.942593314,-1.273585108
296,J. Henderson,28,Liverpool,Mediocampista,England,82,82,18000000,125000,"['Especialista Oculto', 'Especialista Oculto']",81.5,4.50E-06,0.803195711,0.838755709
297,M. Kruse,30,SV Werder Bremen,Atacante,Germany,82,82,21500000,45000,"['Especialista Oculto', 'Especialista Oculto']",84.16666667,3.91E-06,-0.082101983,0.429076604
298,M. Parolo,33,Lazio,Mediocampista,Italy,82,82,9000000,59000,"['Especialista Oculto', 'Especialista Oculto']",79.66666667,8.79E-06,0.803195711,1.244975097
300,A. Rami,32,Olympique de Marseille,Defensor,France,82,82,12500000,57000,['Especialista Oculto'],81.66666667,6.50E-06,1.273128468,1.923777834
301,V. ?orluka,32,Lokomotiv Moscow,Defensor,Croatia,82,82,12500000,1000,['Especialista Oculto'],80.83333333,6.47E-06,1.684892905,1.451267041
303,F. Fazio,31,Roma,Defensor,Argentina,82,82,15000000,73000,['Especialista Oculto'],86.5,5.74E-06,2.096657342,1.923777834
305,Marcano,31,Roma,Defensor,Spain,82,82,15000000,73000,['Especialista Oculto'],81.5,5.41E-06,0.861364031,0.600747613
306,A. Guardado,31,Real Betis,Mediocampista,Mexico,82,82,19000000,35000,"['Especialista Oculto', 'Especialista Oculto']",82,4.31E-06,-1.37904057,-0.379902455
307,E. Garay,31,Valencia CF,Defensor,Argentina,82,82,15000000,44000,['Especialista Oculto'],82,5.45E-06,0.861364031,1.640271358
308,Jardel,32,SL Benfica,Defensor,Brazil,82,82,12500000,17000,['Especialista Oculto'],83.66666667,6.68E-06,1.684892905,1.734773517
311,L. Koscielny,32,Arsenal,Defensor,France,82,82,12500000,115000,['Especialista Oculto'],79.83333333,6.33E-06,0.449599594,0.411743296
313,L. Biglia,32,Milan,Mediocampista,Argentina,82,82,12500000,98000,['Especialista Oculto'],80.83333333,6.42E-06,-0.069698801,0.270048566
314,Dani Alves,35,Paris Saint-Germain,Defensor,Brazil,82,82,4800000,62000,"['Especialista Oculto', 'Especialista Oculto', 'Especialista Oculto']",72.33333333,1.49E-05,-1.609222591,-1.478299878
315,David Villa,36,New York City FC,Atacante,Spain,82,82,8000000,12000,['Especialista Oculto'],84,1.05E-05,-0.853048625,-0.019580052
316,Aduriz,37,Athletic Club de Bilbao,Atacante,Spain,82,82,8000000,29000,['Maestro Veterano'],84.33333333,1.05E-05,0.303371338,1.176837698
319,M. Rashford,20,Manchester United,Atacante,England,81,89,27000000,110000,['Especialista Oculto'],79.66666667,2.94E-06,0.688844659,0.354300495
320,Laure Santeiro,30,Fluminense,Mediocampista,Brazil,81,81,17000000,40000,['Especialista Oculto'],77.83333333,4.57E-06,-1.37904057,-1.111097353
322,M. Akanji,22,Borussia Dortmund,Defensor,Switzerland,81,87,21000000,49000,['Especialista Oculto'],80.83333333,3.84E-06,0.861364031,1.262262724
323,F. de Jong,21,Ajax,Mediocampista,Netherlands,81,89,26000000,19000,['Especialista Oculto'],84.33333333,3.24E-06,0.366748455,0.595024076
324,Nélson Semedo,24,FC Barcelona,Defensor,Portugal,81,86,20000000,125000,['Especialista Oculto'],72.5,3.60E-06,-0.785693717,-0.816784767
325,Pablo Fornals,22,Villarreal CF,Mediocampista,Spain,81,86,24000000,36000,['Especialista Oculto'],80,3.33E-06,-0.069698801,0.432536321
326,Fabián,22,Napoli,Mediocampista,Spain,81,89,26000000,64000,['Especialista Oculto'],79.33333333,3.04E-06,1.676090224,0.595024076
327,E. Bailly,24,Manchester United,Defensor,Ivory Coast,81,87,21000000,105000,['Especialista Oculto'],80.16666667,3.80E-06,0.449599594,1.356764882
328,Dani Ceballos,21,Real Madrid,Mediocampista,Spain,81,88,25000000,120000,['Especialista Oculto'],81.83333333,3.26E-06,-0.069698801,0.026316933
330,Morales,30,Levante UD,Atacante,Spain,81,81,17000000,33000,['Especialista Oculto'],79,4.64E-06,-0.082101983,-0.468236708
331,J. Seri,26,Fulham,Mediocampista,Ivory Coast,81,82,20500000,73000,"['Especialista Oculto', 'Especialista Oculto']",81.5,3.96E-06,-1.37904057,0.107560811
332,M. Politano,24,Inter,Mediocampista,Italy,81,84,22500000,57000,['Especialista Oculto'],79.66666667,3.53E-06,-1.37904057,-1.354828986
333,M. Brozovi?,25,Inter,Mediocampista,Croatia,81,84,18500000,64000,['Especialista Oculto'],81.5,4.39E-06,0.366748455,0.351292443
336,A. Christensen,22,Chelsea,Defensor,Denmark,81,88,21500000,91000,['Especialista Oculto'],80.16666667,3.71E-06,0.861364031,0.222738978
337,João Mário,25,Inter,Mediocampista,Portugal,81,84,22500000,71000,['Especialista Oculto'],81.83333333,3.63E-06,-0.069698801,0.513780199
339,E. Hysaj,24,Napoli,Defensor,Albania,81,86,20000000,58000,['Especialista Oculto'],75.83333333,3.78E-06,0.037835157,-0.155269657
340,P. Zieli?ski,24,Napoli,Mediocampista,Poland,81,88,24500000,64000,['Especialista Oculto'],80,3.26E-06,0.366748455,-0.623634087
341,Ricardo Pereira,24,Leicester City,Defensor,Portugal,81,85,19000000,64000,"['Especialista Oculto', 'Especialista Oculto']",73.33333333,3.85E-06,-1.197458154,-1.005789085
342,Grimaldo,22,SL Benfica,Defensor,Spain,81,87,20500000,14000,"['Especialista Oculto', 'Especialista Oculto', 'Especialista Oculto', 'Especialista Oculto']",73,3.56E-06,-2.020987028,-0.722282609
343,R. Guerreiro,24,Borussia Dortmund,Mediocampista,Portugal,81,86,24000000,54000,"['Especialista Oculto', 'Especialista Oculto']",79.5,3.31E-06,-1.37904057,-1.029853475
348,B. Davies,25,Tottenham Hotspur,Defensor,Wales,81,84,18500000,87000,"['Especialista Oculto', 'Especialista Oculto']",76,4.09E-06,0.037835157,-0.155269657
349,M. Nastasi?,25,FC Schalke 04,Defensor,Serbia,81,84,18500000,36000,['Especialista Oculto'],80,4.32E-06,0.861364031,0.695249772
352,B. Mendy,23,Manchester City,Defensor,France,81,86,20000000,105000,"['Especialista Oculto', 'Especialista Oculto']",77,3.83E-06,0.449599594,0.978756248
354,S. Vrsaljko,26,Inter,Defensor,Croatia,81,84,18000000,57000,['Especialista Oculto'],76.66666667,4.25E-06,-0.37392928,0.222738978
355,T. Hazard,25,Borussia Mönchengladbach,Atacante,Belgium,81,83,21500000,40000,['Especialista Oculto'],78,3.62E-06,-0.853048625,-0.318684489
358,F. Ghoulam,27,Napoli,Defensor,Algeria,81,82,16500000,68000,"['Especialista Oculto', 'Especialista Oculto']",75.5,4.56E-06,0.037835157,-0.249771815
360,J. Ili?i?,30,Atalanta,Mediocampista,Slovenia,81,81,17000000,41000,['Especialista Oculto'],79.66666667,4.67E-06,2.11253748,1.001243464
363,Vitolo,28,Atlético Madrid,Mediocampista,Spain,81,81,18000000,65000,['Especialista Oculto'],79,4.37E-06,1.239642967,1.569950607
364,G. Xhaka,25,Arsenal,Mediocampista,Switzerland,81,84,22000000,115000,"['Especialista Oculto', 'Especialista Oculto']",78.33333333,3.54E-06,1.239642967,1.082487342
365,D. Tadi?,29,Ajax,Mediocampista,Serbia,81,81,17500000,26000,['Especialista Oculto'],81.33333333,4.64E-06,0.366748455,0.026316933
366,C. Aránguiz,29,Bayer 04 Leverkusen,Mediocampista,Chile,81,81,17000000,76000,['Especialista Oculto'],80.83333333,4.73E-06,-1.37904057,0.107560811
367,S. Verdi,25,Napoli,Atacante,Italy,81,81,19500000,77000,"['Especialista Oculto', 'Especialista Oculto']",77.66666667,3.97E-06,-1.623995266,-1.365550021
368,D. Lovren,28,Liverpool,Defensor,Croatia,81,82,16000000,115000,['Especialista Oculto'],79.66666667,4.94E-06,0.861364031,1.073258406
369,G. Medel,30,Be?ikta? JK,Defensor,Chile,81,81,13000000,56000,"['Especialista Oculto', 'Especialista Oculto']",79.83333333,6.11E-06,-2.020987028,1.167760565
370,X. Shaqiri,26,Liverpool,Mediocampista,Switzerland,81,81,19000000,130000,"['Especialista Oculto', 'Especialista Oculto']",81.5,4.26E-06,-1.37904057,0.919999586
373,K. Vogt,26,TSG 1899 Hoffenheim,Defensor,Germany,81,82,17500000,42000,"['Especialista Oculto', 'Especialista Oculto']",81,4.62E-06,1.684892905,1.356764882
374,Ander Herrera,28,Manchester United,Mediocampista,Spain,81,81,17500000,140000,['Especialista Oculto'],81.83333333,4.64E-06,0.803195711,0.432536321
377,C. Smalling,28,Manchester United,Defensor,England,81,82,16000000,130000,['Especialista Oculto'],81.33333333,5.04E-06,1.684892905,1.5457692
378,Hulk,31,Shanghai SIPG FC,Mediocampista,Brazil,81,81,15500000,25000,['Especialista Oculto'],79.16666667,5.10E-06,0.366748455,2.46363326
380,M. Lanzini,25,West Ham United,Mediocampista,Argentina,81,85,23000000,90000,['Especialista Oculto'],80.33333333,3.48E-06,-1.815487826,-1.842292251
383,O. Toprak,28,Borussia Dortmund,Defensor,Turkey,81,82,16000000,59000,['Especialista Oculto'],80.33333333,5.00E-06,0.449599594,0.695249772
384,D. Perotti,29,Roma,Atacante,Argentina,81,81,17500000,84000,['Especialista Oculto'],77.66666667,4.42E-06,-0.467575304,-0.468236708
386,B. Höwedes,30,Lokomotiv Moscow,Defensor,Germany,81,81,13000000,1000,['Especialista Oculto'],81.33333333,6.26E-06,0.861364031,0.695249772
387,S. Kjær,29,Sevilla FC,Defensor,Denmark,81,81,14000000,23000,['Especialista Oculto'],79.83333333,5.69E-06,0.861364031,0.884254089
388,S. Bender,29,Bayer 04 Leverkusen,Defensor,Germany,81,81,14000000,69000,['Especialista Oculto'],80.16666667,5.70E-06,0.449599594,0.600747613
389,M. Valbuena,33,Fenerbahçe SK,Mediocampista,France,81,81,11000000,86000,"['Especialista Oculto', 'Especialista Oculto']",76.83333333,6.93E-06,-1.815487826,-2.004780006
390,Pedro León,31,SD Eibar,Mediocampista,Spain,81,81,15500000,32000,"['Especialista Oculto', 'Especialista Oculto', 'Especialista Oculto']",78.33333333,5.04E-06,0.803195711,0.107560811
391,K. Boateng,31,Sassuolo,Mediocampista,Ghana,81,81,15000000,65000,['Especialista Oculto'],78.83333333,5.23E-06,1.239642967,1.326218974
392,L. Piszczek,33,Borussia Dortmund,Defensor,Poland,81,81,7000000,57000,"['Especialista Oculto', 'Especialista Oculto']",79.83333333,1.13E-05,0.037835157,0.695249772
393,A. Candreva,31,Inter,Mediocampista,Italy,81,81,15500000,74000,['Especialista Oculto'],79.83333333,5.13E-06,0.366748455,0.595024076
394,D. Wass,29,Valencia CF,Defensor,Denmark,81,81,17000000,46000,"['Especialista Oculto', 'Especialista Oculto']",72.66666667,4.26E-06,-0.37392928,-0.060767498
395,E. Lamela,26,Tottenham Hotspur,Mediocampista,Argentina,81,82,21000000,105000,['Especialista Oculto'],82,3.89E-06,0.803195711,0.513780199
396,D. Rose,27,Tottenham Hotspur,Defensor,England,81,81,14500000,92000,"['Especialista Oculto', 'Especialista Oculto']",76.16666667,5.22E-06,-1.197458154,0.128236819
397,C. Vela,29,Los Angeles FC,Atacante,Mexico,81,81,17500000,15000,['Especialista Oculto'],79.5,4.54E-06,-0.467575304,0.055196057
398,Renato Augusto,30,Beijing Sinobo Guoan FC,Mediocampista,Brazil,81,81,16500000,28000,['Especialista Oculto'],79,4.78E-06,1.239642967,1.163731219
399,A. Valencia,32,Manchester United,Mediocampista,Ecuador,81,81,10000000,120000,"['Especialista Oculto', 'Especialista Oculto']",79,7.81E-06,0.366748455,1.407462852
401,João Moutinho,31,Wolverhampton Wanderers,Mediocampista,Portugal,81,81,15000000,85000,"['Especialista Oculto', 'Especialista Oculto']",81.33333333,5.39E-06,-1.37904057,0.107560811
402,Borja Valero,33,Inter,Mediocampista,Spain,81,81,11000000,74000,['Especialista Oculto'],83.33333333,7.53E-06,-0.506146058,0.351292443
403,F. Quagliarella,35,Sampdoria,Atacante,Italy,81,81,8000000,39000,['Especialista Oculto'],83,1.03E-05,-0.082101983,0.728181042
405,Manuel Fernandes,32,Lokomotiv Moscow,Mediocampista,Portugal,81,81,14000000,1000,"['Especialista Oculto', 'Especialista Oculto']",80.5,5.75E-06,-0.506146058,0.757511831
407,Raffael,33,Borussia Mönchengladbach,Atacante,Brazil,81,81,11000000,41000,['Especialista Oculto'],80.5,7.29E-06,-0.853048625,-0.318684489
408,Nani,31,Sporting CP,Mediocampista,Portugal,81,81,15500000,19000,"['Especialista Oculto', 'Especialista Oculto']",81.16666667,5.23E-06,-0.069698801,0.026316933
409,J. Milner,32,Liverpool,Mediocampista,England,81,81,13500000,120000,"['Especialista Oculto', 'Especialista Oculto', 'Especialista Oculto']",82.5,6.06E-06,-0.506146058,0.757511831
410,J. Mathieu,34,Sporting CP,Defensor,France,81,81,5500000,18000,"['Especialista Oculto', 'Especialista Oculto']",82.5,1.50E-05,0.861364031,1.734773517
411,Joaquín,36,Real Betis,Atacante,Spain,81,81,6000000,24000,"['Especialista Oculto', 'Especialista Oculto', 'Especialista Oculto']",79.66666667,1.32E-05,-0.467575304,-0.169132271
414,T. Ndombele,21,Olympique Lyonnais,Mediocampista,France,80,89,22500000,51000,['Especialista Oculto'],82.16666667,3.64E-06,0.366748455,1.326218974
415,H. Aouar,20,Olympique Lyonnais,Mediocampista,France,80,90,23500000,51000,['Especialista Oculto'],82.5,3.50E-06,-0.506146058,-0.054926944
416,Carlos Soler,21,Valencia CF,Mediocampista,Spain,80,87,21000000,31000,"['Especialista Oculto', 'Especialista Oculto', 'Especialista Oculto']",80.33333333,3.82E-06,0.366748455,0.270048566
417,Odriozola,22,Real Madrid,Defensor,Spain,80,88,18500000,115000,"['Especialista Oculto', 'Especialista Oculto']",75,4.03E-06,-1.197458154,-0.722282609
419,Welington Dano,30,Cruzeiro,Defensor,Brazil,80,80,10500000,34000,"['Especialista Oculto', 'Especialista Oculto']",73.5,6.98E-06,-0.785693717,-0.249771815
421,Oyarzabal,21,Real Sociedad,Mediocampista,Spain,80,87,21000000,29000,['Especialista Oculto'],78,3.71E-06,0.366748455,-0.2174147
424,B. Pavard,22,VfB Stuttgart,Defensor,France,80,86,17500000,33000,"['Especialista Oculto', 'Especialista Oculto']",78.5,4.48E-06,0.449599594,0.317241137
425,W. Ndidi,21,Leicester City,Mediocampista,Nigeria,80,85,17000000,50000,['Especialista Oculto'],76,4.46E-06,0.803195711,1.082487342
427,G. Lo Celso,22,Real Betis,Mediocampista,Argentina,80,86,20000000,72000,['Especialista Oculto'],80.66666667,4.02E-06,-0.506146058,0.432536321
428,M. Acuña,26,Sporting CP,Defensor,Argentina,80,80,12500000,16000,"['Especialista Oculto', 'Especialista Oculto']",76.16666667,6.09E-06,-1.609222591,1.262262724
429,Rúben Neves,21,Wolverhampton Wanderers,Mediocampista,Portugal,80,87,20500000,59000,"['Especialista Oculto', 'Especialista Oculto']",80.16666667,3.90E-06,0.366748455,0.676267954
432,M. Caldara,24,Milan,Defensor,Italy,80,86,17500000,73000,['Especialista Oculto'],81.5,4.64E-06,0.861364031,0.78975193
433,M. Vecino,26,Inter,Mediocampista,Uruguay,80,81,14500000,63000,['Especialista Oculto'],82.33333333,5.65E-06,1.676090224,1.082487342
434,T. Bakayoko,23,Milan,Mediocampista,France,80,85,17000000,85000,['Especialista Oculto'],75.83333333,4.44E-06,1.676090224,1.488706729
435,M. Dahoud,22,Borussia Dortmund,Mediocampista,Germany,80,86,20000000,50000,['Especialista Oculto'],80.16666667,4.00E-06,-0.069698801,-0.298658577
442,K. Demirbay,24,TSG 1899 Hoffenheim,Mediocampista,Germany,80,84,19500000,37000,"['Especialista Oculto', 'Especialista Oculto']",80,4.09E-06,0.803195711,0.432536321
443,Gayà,23,Valencia CF,Defensor,Spain,80,85,16500000,33000,"['Especialista Oculto', 'Especialista Oculto']",69.83333333,4.22E-06,-1.609222591,-0.911286926
444,André Gomes,24,Everton,Mediocampista,Portugal,80,85,19500000,130000,['Especialista Oculto'],79.16666667,4.03E-06,1.676090224,1.976169995
445,N. Tagliafico,25,Ajax,Defensor,Argentina,80,82,15000000,20000,['Especialista Oculto'],74,4.93E-06,-2.020987028,-0.722282609
446,M. Sanson,23,Olympique de Marseille,Mediocampista,France,80,85,19500000,47000,['Especialista Oculto'],78.66666667,4.02E-06,0.366748455,1.163731219
448,E. Can,24,Juventus,Mediocampista,Germany,80,85,19500000,91000,"['Especialista Oculto', 'Especialista Oculto']",79.33333333,4.05E-06,0.803195711,1.732438362
449,H. Çalhano?lu,24,Milan,Mediocampista,Turkey,80,84,19500000,89000,"['Especialista Oculto', 'Especialista Oculto', 'Especialista Oculto']",81.33333333,4.15E-06,-0.069698801,-0.623634087
451,M. Keane,25,Everton,Defensor,England,80,83,15500000,88000,['Especialista Oculto'],80.33333333,5.15E-06,1.273128468,1.356764882
452,L. Paredes,24,Agente Libre,Mediocampista,Argentina,80,85,0,0,"['Especialista Oculto', 'Especialista Oculto', 'Talento Infravalorado']",79.83333333,79.83333333,0.366748455,0.595024076
454,L. Shaw,22,Manchester United,Defensor,England,80,85,16500000,96000,"['Especialista Oculto', 'Especialista Oculto']",76,4.58E-06,-0.37392928,0.411743296
455,Z. Feddal,28,Real Betis,Defensor,Morocco,80,80,12000000,29000,['Especialista Oculto'],78.66666667,6.54E-06,1.273128468,0.978756248
459,Portu,26,Girona FC,Mediocampista,Spain,80,81,17500000,37000,['Especialista Oculto'],79.5,4.53E-06,-0.069698801,0.757511831
461,E. Zahavi,30,Guangzhou R&F; FC,Atacante,Israel,80,80,14500000,24000,['Especialista Oculto'],79.83333333,5.50E-06,0.303371338,0.129972167
464,Héctor Bellerín,23,Arsenal,Defensor,Spain,80,85,16500000,85000,['Especialista Oculto'],71,4.28E-06,-0.785693717,-1.194793402
465,P. Kade?ábek,26,TSG 1899 Hoffenheim,Defensor,Czech Republic,80,81,14000000,39000,['Especialista Oculto'],75.83333333,5.40E-06,0.037835157,0.78975193
467,J. Vestergaard,25,Southampton,Defensor,Denmark,80,81,14500000,51000,['Especialista Oculto'],83.66666667,5.75E-06,2.508421779,2.20728431
468,J. Tarkowski,25,Burnley,Defensor,England,80,83,15500000,56000,['Especialista Oculto'],79.33333333,5.10E-06,1.684892905,0.978756248
469,Deulofeu,24,Watford,Atacante,Spain,80,82,18500000,56000,['Especialista Oculto'],75.66666667,4.08E-06,-0.467575304,-0.916893364
470,E. Dier,24,Tottenham Hotspur,Mediocampista,England,80,84,16500000,73000,"['Especialista Oculto', 'Especialista Oculto']",72.33333333,4.36E-06,1.676090224,2.219901628
471,J. Murillo,26,Valencia CF,Defensor,Colombia,80,84,16000000,38000,['Especialista Oculto'],77.83333333,4.85E-06,0.037835157,0.884254089
472,M. Badelj,29,Lazio,Mediocampista,Croatia,80,80,11500000,53000,['Especialista Oculto'],77.16666667,6.68E-06,1.239642967,0.757511831
473,Ismaily,28,Shakhtar Donetsk,Defensor,Brazil,80,80,11500000,1000,['Especialista Oculto'],74.16666667,6.45E-06,-0.785693717,0.411743296
474,N. Schulz,25,TSG 1899 Hoffenheim,Defensor,Germany,80,81,14500000,37000,['Especialista Oculto'],72,4.95E-06,-0.37392928,0.506245454
475,L. Digne,24,Everton,Defensor,France,80,84,16000000,79000,"['Especialista Oculto', 'Especialista Oculto']",74.16666667,4.61E-06,-0.785693717,-0.155269657
