,Nombre,Edad,Club,Grupo_Posicion,Nacionalidad,Valoracion_General,Potencial,Valor_Mercado,Salario,Arquetipo_Atipico,Indice_Rendimiento,Ratio_Valor_Rendimiento,ZScore_Altura_cm,ZScore_Fuerza
253,E. Forsberg,26,RB Leipzig,Mediocampista,Sweden,82,83,26000000,67000,"['Especialista Oculto', 'Especialista Oculto']",81.33333333333333,3.1201645840782884e-06,-0.06969880138020956,0.026316933140571867
255,F. Vázquez,29,Sevilla FC,Mediocampista,Argentina,82,82,21500000,27000,['Especialista Oculto'],80.33333333333333,3.7317475543078818e-06,1.2396429674052454,1.4074628518127605
256,E. Viš?a,28,Medipol Ba?ak?ehir FK,Mediocampista,Bosnia Herzegovina,82,82,22500000,40000,['Especialista Oculto'],79.5,3.527062842632527e-06,-0.942593313903851,-0.29865857713523725
257,A. Rüdiger,25,Chelsea,Defensor,Germany,82,84,22500000,110000,['Especialista Oculto'],81.83333333333333,3.6193423137545783e-06,1.273128468259076,1.073258406279868
258,A. Florenzi,27,Roma,Defensor,Italy,82,83,20500000,73000,"['Especialista Oculto', 'Especialista Oculto']",75.33333333333333,3.6617571414755354e-06,-1.6092225911032372,-0.3442739739147518
259,H. Maguire,25,Leicester City,Defensor,England,82,85,23500000,77000,['Especialista Oculto'],83.0,3.5203798820723636e-06,1.6848929053108337,1.7347735170373573
260,T. Meunier,26,Paris Saint-Germain,Mediocampista,Belgium,82,83,21000000,87000,"['Especialista Oculto', 'Especialista Oculto']",80.0,3.7938064307959203e-06,2.112537479928887,1.8949261172264742
261,S. Sané,27,FC Schalke 04,Defensor,Senegal,82,82,18500000,41000,['Especialista Oculto'],84.33333333333333,4.548477902208912e-06,2.096657342362596,1.640271358357716
262,G. Kondogbia,25,Valencia CF,Mediocampista,Central African Rep.,82,85,27500000,46000,"['Especialista Oculto', 'Especialista Oculto']",81.0,2.940535724223636e-06,1.6760902236670685,2.382389382640188
264,Gabriel Paulista,27,Valencia CF,Defensor,Brazil,82,83,21000000,44000,['Especialista Oculto'],81.66666666666667,3.880757592943788e-06,0.8613640312073183,1.073258406279868
269,Pablo Sarabia,26,Sevilla FC,Mediocampista,Spain,82,83,26000000,26000,['Especialista Oculto'],80.5,3.093060666523451e-06,-0.5061460576420328,-0.29865857713523725
270,W. Zaha,25,Crystal Palace,Atacante,Ivory Coast,82,85,28500000,78000,['Especialista Oculto'],79.66666666666667,2.7876920665887957e-06,-0.08210198290365273,0.6534049322037311
271,Luis Alberto,25,Lazio,Atacante,Spain,82,85,28500000,67000,"['Especialista Oculto', 'Especialista Oculto']",80.16666666666667,2.8062682066859825e-06,0.30337133792695914,0.055196057319115435
272,Jonathan Viera,28,Beijing Sinobo Guoan FC,Atacante,Spain,82,82,22500000,31000,['Especialista Oculto'],77.16666666666667,3.42491071154214e-06,-1.6239952662261046,0.055196057319115435
273,Bartra,27,Real Betis,Defensor,Spain,82,83,21000000,32000,"['Especialista Oculto', 'Especialista Oculto']",80.16666666666667,3.8116519044795916e-06,0.03783515710379826,0.033734660803813515
274,S. Coates,27,Sporting CP,Defensor,Uruguay,82,83,21000000,19000,['Especialista Oculto'],83.0,3.948808033264759e-06,2.096657342362596,2.207284310435564
276,Mário Fernandes,27,PFC CSKA Moscow,Defensor,Russia,82,82,18500000,1000,['Especialista Oculto'],79.0,4.2700392265261756e-06,0.8613640312073183,0.4117432955223788
277,Víctor Ruiz,29,Villarreal CF,Defensor,Spain,82,83,19500000,43000,['Especialista Oculto'],81.66666666666667,4.178819141782097e-06,0.44959959415555595,1.5457691996780747
278,T. Delaney,26,Borussia Dortmund,Mediocampista,Denmark,82,83,21500000,61000,['Especialista Oculto'],79.5,3.687212852501607e-06,0.803195711143427,1.4074628518127605
280,M. Götze,26,Borussia Dortmund,Mediocampista,Germany,82,85,27000000,67000,['Especialista Oculto'],84.16666666666667,3.1095675012782787e-06,-0.5061460576420328,0.5137801985542856
281,S. Mustafi,26,Arsenal,Defensor,Germany,82,84,22500000,115000,['Especialista Oculto'],80.83333333333333,3.5743236683179157e-06,0.03783515710379826,0.6952497715613027
282,J. Pastore,29,Roma,Mediocampista,Argentina,82,82,21500000,84000,['Especialista Oculto'],81.33333333333333,3.768223200755658e-06,1.6760902236670685,0.18880468827847643
284,G. Bonaventura,28,Milan,Mediocampista,Italy,82,82,22000000,115000,"['Especialista Oculto', 'Especialista Oculto', 'Especialista Oculto']",83.33333333333333,3.768181305229574e-06,0.3667484548816088,0.351292443416381
289,A. Ramsey,27,Arsenal,Mediocampista,Wales,82,83,25000000,130000,['Especialista Oculto'],82.66666666666667,3.289560818826337e-06,0.803195711143427,0.4325363209853333
290,K. Trippier,27,Tottenham Hotspur,Defensor,England,82,82,18500000,99000,"['Especialista Oculto', 'Especialista Oculto', 'Especialista Oculto', 'Especialista Oculto']",76.16666666666667,4.09520203083309e-06,-0.7856937169997171,-0.5332782912740344
291,A. Kolarov,32,Roma,Defensor,Serbia,82,82,12500000,73000,"['Especialista Oculto', 'Especialista Oculto', 'Especialista Oculto']",80.83333333333333,6.429120091005586e-06,0.8613640312073183,0.6007476128816615
292,G. Sigurðsson,28,Everton,Mediocampista,Iceland,82,82,22500000,125000,"['Especialista Oculto', 'Especialista Oculto', 'Especialista Oculto']",84.16666666666667,3.720073500401908e-06,1.2396429674052454,0.5137801985542856
293,S. Giovinco,31,Toronto FC,Atacante,Italy,82,82,20000000,15000,['Especialista Oculto'],81.66666666666667,4.0802729246262176e-06,-2.780415228717944,-1.8142066766953084
294,M. Arnautovi?,29,West Ham United,Atacante,Austria,82,82,22000000,120000,['Especialista Oculto'],81.5,3.684448296363097e-06,1.8452646212494108,1.3263899164489237
295,N. Gaitán,30,Dalian YiFang FC,Mediocampista,Argentina,82,82,21000000,22000,['Especialista Oculto'],79.83333333333333,3.797608673566961e-06,-0.942593313903851,-1.2735851079626646
296,J. Henderson,28,Liverpool,Mediocampista,England,82,82,18000000,125000,"['Especialista Oculto', 'Especialista Oculto']",81.5,4.496551476052332e-06,0.803195711143427,0.8387557088300946
297,M. Kruse,30,SV Werder Bremen,Atacante,Germany,82,82,21500000,45000,"['Especialista Oculto', 'Especialista Oculto']",84.16666666666667,3.9065519962921645e-06,-0.08210198290365273,0.4290766041220002
298,M. Parolo,33,Lazio,Mediocampista,Italy,82,82,9000000,59000,"['Especialista Oculto', 'Especialista Oculto']",79.66666666666667,8.794200007999411e-06,0.803195711143427,1.244975096674856
300,A. Rami,32,Olympique de Marseille,Defensor,France,82,82,12500000,57000,['Especialista Oculto'],81.66666666666667,6.50367605025011e-06,1.273128468259076,1.92377783439664
301,V. ?orluka,32,Lokomotiv Moscow,Defensor,Croatia,82,82,12500000,1000,['Especialista Oculto'],80.83333333333333,6.466148857466161e-06,1.6848929053108337,1.4512670409984334
303,F. Fazio,31,Roma,Defensor,Argentina,82,82,15000000,73000,['Especialista Oculto'],86.5,5.738737760317272e-06,2.096657342362596,1.92377783439664
305,Marcano,31,Roma,Defensor,Spain,82,82,15000000,73000,['Especialista Oculto'],81.5,5.407018814634193e-06,0.8613640312073183,0.6007476128816615
306,A. Guardado,31,Real Betis,Mediocampista,Mexico,82,82,19000000,35000,"['Especialista Oculto', 'Especialista Oculto']",82.0,4.307853726931772e-06,-1.3790405701656694,-0.37990245470418954
307,E. Garay,31,Valencia CF,Defensor,Argentina,82,82,15000000,44000,['Especialista Oculto'],82.0,5.450677648851526e-06,0.8613640312073183,1.640271358357716
308,Jardel,32,SL Benfica,Defensor,Brazil,82,82,12500000,17000,['Especialista Oculto'],83.66666666666667,6.684242229162295e-06,1.6848929053108337,1.7347735170373573
311,L. Koscielny,32,Arsenal,Defensor,France,82,82,12500000,115000,['Especialista Oculto'],79.83333333333333,6.328444471255558e-06,0.44959959415555595,0.4117432955223788
313,L. Biglia,32,Milan,Mediocampista,Argentina,82,82,12500000,98000,['Especialista Oculto'],80.83333333333333,6.416361876247933e-06,-0.06969880138020956,0.2700485658474287
314,Dani Alves,35,Paris Saint-Germain,Defensor,Brazil,82,82,4800000,62000,"['Especialista Oculto', 'Especialista Oculto', 'Especialista Oculto']",72.33333333333333,1.4877276523253148e-05,-1.6092225911032372,-1.4782998780704477
315,David Villa,36,New York City FC,Atacante,Spain,82,82,8000000,12000,['Especialista Oculto'],84.0,1.0484272281044398e-05,-0.8530486245648807,-0.019580052041461526
316,Aduriz,37,Athletic Club de Bilbao,Atacante,Spain,82,82,8000000,29000,['Maestro Veterano'],84.33333333333333,1.0503589840545958e-05,0.30337133792695914,1.17683769772777
319,M. Rashford,20,Manchester United,Atacante,England,81,89,27000000,110000,['Especialista Oculto'],79.66666666666667,2.9386449180384267e-06,0.688844658757571,0.3543004947614233
320,Laure Santeiro,30,Fluminense,Mediocampista,Brazil,81,81,17000000,40000,['Especialista Oculto'],77.83333333333333,4.567683613007612e-06,-1.3790405701656694,-1.11109735282476
322,M. Akanji,22,Borussia Dortmund,Defensor,Switzerland,81,87,21000000,49000,['Especialista Oculto'],80.83333333333333,3.8402455932865095e-06,0.8613640312073183,1.2622627236391508
323,F. de Jong,21,Ajax,Mediocampista,Netherlands,81,89,26000000,19000,['Especialista Oculto'],84.33333333333333,3.241221034325389e-06,0.3667484548816088,0.5950240761232378
324,Nélson Semedo,24,FC Barcelona,Defensor,Portugal,81,86,20000000,125000,['Especialista Oculto'],72.5,3.6024842930442586e-06,-0.7856937169997171,-0.8167847673129583
325,Pablo Fornals,22,Villarreal CF,Mediocampista,Spain,81,86,24000000,36000,['Especialista Oculto'],80.0,3.328340683627031e-06,-0.06969880138020956,0.4325363209853333
326,Fabián,22,Napoli,Mediocampista,Spain,81,89,26000000,64000,['Especialista Oculto'],79.33333333333333,3.0437895292182245e-06,1.6760902236670685,0.5950240761232378
327,E. Bailly,24,Manchester United,Defensor,Ivory Coast,81,87,21000000,105000,['Especialista Oculto'],80.16666666666667,3.798467797592934e-06,0.44959959415555595,1.356764882318792
328,Dani Ceballos,21,Real Madrid,Mediocampista,Spain,81,88,25000000,120000,['Especialista Oculto'],81.83333333333333,3.2576962609728133e-06,-0.06969880138020956,0.026316933140571867
330,Morales,30,Levante UD,Atacante,Spain,81,81,17000000,33000,['Especialista Oculto'],79.0,4.638055266949142e-06,-0.08210198290365273,-0.4682367082049233
331,J. Seri,26,Fulham,Mediocampista,Ivory Coast,81,82,20500000,73000,"['Especialista Oculto', 'Especialista Oculto']",81.5,3.961502748189241e-06,-1.3790405701656694,0.10756081070952414
332,M. Politano,24,Inter,Mediocampista,Italy,81,84,22500000,57000,['Especialista Oculto'],79.66666666666667,3.531793373891621e-06,-1.3790405701656694,-1.354828985531617
333,M. Brozovi?,25,Inter,Mediocampista,Croatia,81,84,18500000,64000,['Especialista Oculto'],81.5,4.390217389020826e-06,0.3667484548816088,0.351292443416381
336,A. Christensen,22,Chelsea,Defensor,Denmark,81,88,21500000,91000,['Especialista Oculto'],80.16666666666667,3.712966650627577e-06,0.8613640312073183,0.22273897816309615
337,João Mário,25,Inter,Mediocampista,Portugal,81,84,22500000,71000,['Especialista Oculto'],81.83333333333333,3.6255961059650537e-06,-0.06969880138020956,0.5137801985542856
339,E. Hysaj,24,Napoli,Defensor,Albania,81,86,20000000,58000,['Especialista Oculto'],75.83333333333333,3.780702440553938e-06,0.03783515710379826,-0.15526965655546912
340,P. Zieli?ski,24,Napoli,Mediocampista,Poland,81,88,24500000,64000,['Especialista Oculto'],80.0,3.2567984344244244e-06,0.3667484548816088,-0.6236340874110463
341,Ricardo Pereira,24,Leicester City,Defensor,Portugal,81,85,19000000,64000,"['Especialista Oculto', 'Especialista Oculto']",73.33333333333333,3.846691643235506e-06,-1.1974581540514795,-1.005789084672241
342,Grimaldo,22,SL Benfica,Defensor,Spain,81,87,20500000,14000,"['Especialista Oculto', 'Especialista Oculto', 'Especialista Oculto', 'Especialista Oculto']",73.0,3.5585452101713363e-06,-2.0209870281549946,-0.7222826086333171
343,R. Guerreiro,24,Borussia Dortmund,Mediocampista,Portugal,81,86,24000000,54000,"['Especialista Oculto', 'Especialista Oculto']",79.5,3.3050634694826862e-06,-1.3790405701656694,-1.0298534752558077
348,B. Davies,25,Tottenham Hotspur,Defensor,Wales,81,84,18500000,87000,"['Especialista Oculto', 'Especialista Oculto']",76.0,4.088879104272927e-06,0.03783515710379826,-0.15526965655546912
349,M. Nastasi?,25,FC Schalke 04,Defensor,Serbia,81,84,18500000,36000,['Especialista Oculto'],80.0,4.3159255332366456e-06,0.8613640312073183,0.6952497715613027
352,B. Mendy,23,Manchester City,Defensor,France,81,86,20000000,105000,"['Especialista Oculto', 'Especialista Oculto']",77.0,3.829892870932959e-06,0.44959959415555595,0.9787562476002267
354,S. Vrsaljko,26,Inter,Defensor,Croatia,81,84,18000000,57000,['Especialista Oculto'],76.66666666666667,4.245813945885403e-06,-0.37392927994795944,0.22273897816309615
355,T. Hazard,25,Borussia Mönchengladbach,Atacante,Belgium,81,83,21500000,40000,['Especialista Oculto'],78.0,3.62116974832081e-06,-0.8530486245648807,-0.3186844894837694
358,F. Ghoulam,27,Napoli,Defensor,Algeria,81,82,16500000,68000,"['Especialista Oculto', 'Especialista Oculto']",75.5,4.556977030602545e-06,0.03783515710379826,-0.24977181523511044
360,J. Ili?i?,30,Atalanta,Mediocampista,Slovenia,81,81,17000000,41000,['Especialista Oculto'],79.66666666666667,4.674999236645e-06,2.112537479928887,1.0012434639679992
363,Vitolo,28,Atlético Madrid,Mediocampista,Spain,81,81,18000000,65000,['Especialista Oculto'],79.0,4.373096907107838e-06,1.2396429674052454,1.5699506069506652
364,G. Xhaka,25,Arsenal,Mediocampista,Switzerland,81,84,22000000,115000,"['Especialista Oculto', 'Especialista Oculto']",78.33333333333333,3.5420904269157995e-06,1.2396429674052454,1.0824873415369516
365,D. Tadi?,29,Ajax,Mediocampista,Serbia,81,81,17500000,26000,['Especialista Oculto'],81.33333333333333,4.6407239925031e-06,0.3667484548816088,0.026316933140571867
366,C. Aránguiz,29,Bayer 04 Leverkusen,Mediocampista,Chile,81,81,17000000,76000,['Especialista Oculto'],80.83333333333333,4.733739084070874e-06,-1.3790405701656694,0.10756081070952414
367,S. Verdi,25,Napoli,Atacante,Italy,81,81,19500000,77000,"['Especialista Oculto', 'Especialista Oculto']",77.66666666666667,3.967240266610125e-06,-1.6239952662261046,-1.3655500205318467
368,D. Lovren,28,Liverpool,Defensor,Croatia,81,82,16000000,115000,['Especialista Oculto'],79.66666666666667,4.943633988397932e-06,0.8613640312073183,1.073258406279868
369,G. Medel,30,Be?ikta? JK,Defensor,Chile,81,81,13000000,56000,"['Especialista Oculto', 'Especialista Oculto']",79.83333333333333,6.114684989173433e-06,-2.0209870281549946,1.1677605649595093
370,X. Shaqiri,26,Liverpool,Mediocampista,Switzerland,81,81,19000000,130000,"['Especialista Oculto', 'Especialista Oculto']",81.5,4.260323875571151e-06,-1.3790405701656694,0.9199995863990469
373,K. Vogt,26,TSG 1899 Hoffenheim,Defensor,Germany,81,82,17500000,42000,"['Especialista Oculto', 'Especialista Oculto']",81.0,4.617489190657326e-06,1.6848929053108337,1.356764882318792
374,Ander Herrera,28,Manchester United,Mediocampista,Spain,81,81,17500000,140000,['Especialista Oculto'],81.83333333333333,4.6390775903773096e-06,0.803195711143427,0.4325363209853333
377,C. Smalling,28,Manchester United,Defensor,England,81,82,16000000,130000,['Especialista Oculto'],81.33333333333333,5.042363812211378e-06,1.6848929053108337,1.5457691996780747
378,Hulk,31,Shanghai SIPG FC,Mediocampista,Brazil,81,81,15500000,25000,['Especialista Oculto'],79.16666666666667,5.099301872294029e-06,0.3667484548816088,2.46363326020914
380,M. Lanzini,25,West Ham United,Mediocampista,Argentina,81,85,23000000,90000,['Especialista Oculto'],80.33333333333333,3.4791394479945377e-06,-1.8154878264274925,-1.8422922509453306
383,O. Toprak,28,Borussia Dortmund,Defensor,Turkey,81,82,16000000,59000,['Especialista Oculto'],80.33333333333333,5.002386719655434e-06,0.44959959415555595,0.6952497715613027
384,D. Perotti,29,Roma,Atacante,Argentina,81,81,17500000,84000,['Especialista Oculto'],77.66666666666667,4.416893895005277e-06,-0.4675753037342646,-0.4682367082049233
386,B. Höwedes,30,Lokomotiv Moscow,Defensor,Germany,81,81,13000000,1000,['Especialista Oculto'],81.33333333333333,6.255928549911913e-06,0.8613640312073183,0.6952497715613027
387,S. Kjær,29,Sevilla FC,Defensor,Denmark,81,81,14000000,23000,['Especialista Oculto'],79.83333333333333,5.69302771449088e-06,0.8613640312073183,0.8842540889205854
388,S. Bender,29,Bayer 04 Leverkusen,Defensor,Germany,81,81,14000000,69000,['Especialista Oculto'],80.16666666666667,5.698106544072793e-06,0.44959959415555595,0.6007476128816615
389,M. Valbuena,33,Fenerbahçe SK,Mediocampista,France,81,81,11000000,86000,"['Especialista Oculto', 'Especialista Oculto']",76.83333333333333,6.930662673883335e-06,-1.8154878264274925,-2.004780006083235
390,Pedro León,31,SD Eibar,Mediocampista,Spain,81,81,15500000,32000,"['Especialista Oculto', 'Especialista Oculto', 'Especialista Oculto']",78.33333333333333,5.043351035924691e-06,0.803195711143427,0.10756081070952414
391,K. Boateng,31,Sassuolo,Mediocampista,Ghana,81,81,15000000,65000,['Especialista Oculto'],78.83333333333333,5.232879395981011e-06,1.2396429674052454,1.3262189742438084
392,L. Piszczek,33,Borussia Dortmund,Defensor,Poland,81,81,7000000,57000,"['Especialista Oculto', 'Especialista Oculto']",79.83333333333333,1.1312643052386323e-05,0.03783515710379826,0.6952497715613027
393,A. Candreva,31,Inter,Mediocampista,Italy,81,81,15500000,74000,['Especialista Oculto'],79.83333333333333,5.126064479727035e-06,0.3667484548816088,0.5950240761232378
394,D. Wass,29,Valencia CF,Defensor,Denmark,81,81,17000000,46000,"['Especialista Oculto', 'Especialista Oculto']",72.66666666666667,4.262974445834344e-06,-0.37392927994795944,-0.0607674978758278
395,E. Lamela,26,Tottenham Hotspur,Mediocampista,Argentina,81,82,21000000,105000,['Especialista Oculto'],82.0,3.885335044523334e-06,0.803195711143427,0.5137801985542856
396,D. Rose,27,Tottenham Hotspur,Defensor,England,81,81,14500000,92000,"['Especialista Oculto', 'Especialista Oculto']",76.16666666666667,5.219754759245608e-06,-1.1974581540514795,0.12823681948345483
397,C. Vela,29,Los Angeles FC,Atacante,Mexico,81,81,17500000,15000,['Especialista Oculto'],79.5,4.5389663409097155e-06,-0.4675753037342646,0.055196057319115435
398,Renato Augusto,30,Beijing Sinobo Guoan FC,Mediocampista,Brazil,81,81,16500000,28000,['Especialista Oculto'],79.0,4.77976737779723e-06,1.2396429674052454,1.1637312191059037
399,A. Valencia,32,Manchester United,Mediocampista,Ecuador,81,81,10000000,120000,"['Especialista Oculto', 'Especialista Oculto']",79.0,7.806323339296113e-06,0.3667484548816088,1.4074628518127605
401,João Moutinho,31,Wolverhampton Wanderers,Mediocampista,Portugal,81,81,15000000,85000,"['Especialista Oculto', 'Especialista Oculto']",81.33333333333333,5.391669071373169e-06,-1.3790405701656694,0.10756081070952414
402,Borja Valero,33,Inter,Mediocampista,Spain,81,81,11000000,74000,['Especialista Oculto'],83.33333333333333,7.525133267852633e-06,-0.5061460576420328,0.351292443416381
403,F. Quagliarella,35,Sampdoria,Atacante,Italy,81,81,8000000,39000,['Especialista Oculto'],83.0,1.0324665962847871e-05,-0.08210198290365273,0.7281810415643081
405,Manuel Fernandes,32,Lokomotiv Moscow,Mediocampista,Portugal,81,81,14000000,1000,"['Especialista Oculto', 'Especialista Oculto']",80.5,5.749588904393336e-06,-0.5061460576420328,0.7575118312611424
407,Raffael,33,Borussia Mönchengladbach,Atacante,Brazil,81,81,11000000,41000,['Especialista Oculto'],80.5,7.29100558907657e-06,-0.8530486245648807,-0.3186844894837694
408,Nani,31,Sporting CP,Mediocampista,Portugal,81,81,15500000,19000,"['Especialista Oculto', 'Especialista Oculto']",81.16666666666667,5.230147653619371e-06,-0.06969880138020956,0.026316933140571867
409,J. Milner,32,Liverpool,Mediocampista,England,81,81,13500000,120000,"['Especialista Oculto', 'Especialista Oculto', 'Especialista Oculto']",82.5,6.057268277733606e-06,-0.5061460576420328,0.7575118312611424
410,J. Mathieu,34,Sporting CP,Defensor,France,81,81,5500000,18000,"['Especialista Oculto', 'Especialista Oculto']",82.5,1.4951066518472904e-05,0.8613640312073183,1.7347735170373573
411,Joaquín,36,Real Betis,Atacante,Spain,81,81,6000000,24000,"['Especialista Oculto', 'Especialista Oculto', 'Especialista Oculto']",79.66666666666667,1.322487606935435e-05,-0.4675753037342646,-0.16913227076261544
414,T. Ndombele,21,Olympique Lyonnais,Mediocampista,France,80,89,22500000,51000,['Especialista Oculto'],82.16666666666667,3.6435928793877783e-06,0.3667484548816088,1.3262189742438084
415,H. Aouar,20,Olympique Lyonnais,Mediocampista,France,80,90,23500000,51000,['Especialista Oculto'],82.5,3.503035815760018e-06,-0.5061460576420328,-0.05492694442838041
416,Carlos Soler,21,Valencia CF,Mediocampista,Spain,80,87,21000000,31000,"['Especialista Oculto', 'Especialista Oculto', 'Especialista Oculto']",80.33333333333333,3.819757953191735e-06,0.3667484548816088,0.2700485658474287
417,Odriozola,22,Real Madrid,Defensor,Spain,80,88,18500000,115000,"['Especialista Oculto', 'Especialista Oculto']",75.0,4.02900864738068e-06,-1.1974581540514795,-0.7222826086333171
419,Welington Dano,30,Cruzeiro,Defensor,Brazil,80,80,10500000,34000,"['Especialista Oculto', 'Especialista Oculto']",73.5,6.977405830889897e-06,-0.7856937169997171,-0.24977181523511044
421,Oyarzabal,21,Real Sociedad,Mediocampista,Spain,80,87,21000000,29000,['Especialista Oculto'],78.0,3.709163359685988e-06,0.3667484548816088,-0.21741469956628498
424,B. Pavard,22,VfB Stuttgart,Defensor,France,80,86,17500000,33000,"['Especialista Oculto', 'Especialista Oculto']",78.5,4.477271175653272e-06,0.44959959415555595,0.31724113684273747
425,W. Ndidi,21,Leicester City,Mediocampista,Nigeria,80,85,17000000,50000,['Especialista Oculto'],76.0,4.457477744429457e-06,0.803195711143427,1.0824873415369516
427,G. Lo Celso,22,Real Betis,Mediocampista,Argentina,80,86,20000000,72000,['Especialista Oculto'],80.66666666666667,4.018865217606688e-06,-0.5061460576420328,0.4325363209853333
428,M. Acuña,26,Sporting CP,Defensor,Argentina,80,80,12500000,16000,"['Especialista Oculto', 'Especialista Oculto']",76.16666666666667,6.085543351000585e-06,-1.6092225911032372,1.2622627236391508
429,Rúben Neves,21,Wolverhampton Wanderers,Mediocampista,Portugal,80,87,20500000,59000,"['Especialista Oculto', 'Especialista Oculto']",80.16666666666667,3.899346406309658e-06,0.3667484548816088,0.6762679536921901
432,M. Caldara,24,Milan,Defensor,Italy,80,86,17500000,73000,['Especialista Oculto'],81.5,4.63779635589846e-06,0.8613640312073183,0.7897519302409441
433,M. Vecino,26,Inter,Mediocampista,Uruguay,80,81,14500000,63000,['Especialista Oculto'],82.33333333333333,5.653596627050519e-06,1.6760902236670685,1.0824873415369516
434,T. Bakayoko,23,Milan,Mediocampista,France,80,85,17000000,85000,['Especialista Oculto'],75.83333333333333,4.438591097146165e-06,1.6760902236670685,1.488706729381713
435,M. Dahoud,22,Borussia Dortmund,Mediocampista,Germany,80,86,20000000,50000,['Especialista Oculto'],80.16666666666667,3.998337290190991e-06,-0.06969880138020956,-0.29865857713523725
442,K. Demirbay,24,TSG 1899 Hoffenheim,Mediocampista,Germany,80,84,19500000,37000,"['Especialista Oculto', 'Especialista Oculto']",80.0,4.094794282909644e-06,0.803195711143427,0.4325363209853333
443,Gayà,23,Valencia CF,Defensor,Spain,80,85,16500000,33000,"['Especialista Oculto', 'Especialista Oculto']",69.83333333333333,4.223875225879036e-06,-1.6092225911032372,-0.9112869259925998
